iter	Passed	Remaining
419	2366	3268
420	2371	3261
421	2375	3254
422	2380	3246
423	2385	3240
424	2389	3233
425	2394	3226
426	2399	3219
427	2403	3212
428	2408	3205
429	2412	3198
430	2417	3191
431	2421	3183
432	2425	3176
433	2430	3169
434	2435	3162
435	2440	3156
436	2445	3149
437	2449	3142
438	2453	3135
439	2458	3128
440	2463	3122
441	2467	3115
442	2471	3108
443	2476	3101
444	2480	3094
445	2485	3086
446	2489	3080
447	2494	3073
448	2499	3066
449	2503	3059
450	2507	3052
451	2513	3047
452	2518	3040
453	2522	3033
454	2527	3026
455	2531	3020
456	2536	3013
457	2541	3007
458	2545	3000
459	2550	2993
460	2554	2986
461	2559	2980
462	2564	2974
463	2568	2967
464	2575	2962
465	2579	2956
466	2584	2949
467	2589	2943
468	2593	2936
469	2598	2930
470	2602	2923
471	2608	2917
472	2612	2910
473	2617	2904
474	2622	2898
475	2626	2891
476	2631	2884
477	2635	2878
478	2640	2871
479	2644	2865
480	2649	2858
481	2653	2851
482	2658	2845
483	2663	2839
484	2667	2832
485	2671	2825
486	2676	2819
487	2681	2813
488	2686	2807
489	2691	2801
490	2696	2795
491	2700	2788
492	2705	2782
493	2710	2776
494	2714	2769
495	2720	2764
496	2725	2758
497	2730	2751
498	2734	2745
499	2739	2739
500	2744	2733
501	2749	2727
502	2754	2721
503	2760	2716
504	2767	2712
505	2775	2709
506	2781	2705
507	2790	2702
508	2797	2698
509	2805	2695
510	2811	2690
511	2818	2686
512	2824	2681
513	2829	2675
514	2835	2670
515	2840	2664
516	2844	2657
517	2851	2653
518	2855	2646
519	2860	2640
520	2866	2635
521	2871	2629
522	2876	2623
523	2882	2618
524	2887	2612
525	2893	2607
526	2899	2602
527	2903	2595
528	2908	2589
529	2913	2584
530	2918	2577
531	2922	2571
532	2927	2565
533	2932	2559
534	2937	2552
535	2941	2546
536	2946	2540
537	2951	2534
538	2956	2528
539	2961	2522
540	2966	2516
541	2970	2510
542	2975	2504
543	2981	2499
544	2987	2493
545	2992	2488
546	2998	2483
547	3004	2477
548	3010	2473
549	3016	2467
550	3021	2461
551	3027	2457
552	3032	2451
553	3037	2445
554	3043	2440
555	3048	2434
556	3054	2429
557	3060	2424
558	3065	2418
559	3070	2412
560	3076	2407
561	3081	2401
562	3087	2396
563	3093	2391
564	3099	2386
565	3104	2380
566	3110	2375
567	3115	2369
568	3122	2364
569	3127	2359
570	3132	2353
571	3138	2348
572	3144	2342
573	3149	2337
574	3155	2332
575	3160	2326
576	3165	2320
577	3171	2315
578	3177	2310
579	3182	2304
580	3188	2299
581	3194	2294
582	3199	2288
583	3206	2283
584	3212	2278
585	3218	2273
586	3223	2267
587	3229	2262
588	3235	2257
589	3240	2252
590	3246	2246
591	3252	2241
592	3257	2235
593	3262	2230
594	3269	2225
595	3274	2219
596	3279	2214
597	3286	2209
598	3291	2203
599	3296	2197
600	3302	2192
601	3308	2187
602	3314	2182
603	3319	2176
604	3324	2170
605	3332	2166
606	3337	2161
607	3343	2155
608	3350	2150
609	3355	2145
610	3361	2139
611	3367	2134
612	3372	2129
613	3378	2123
614	3384	2118
615	3389	2113
616	3395	2107
617	3400	2102
618	3406	2096
619	3412	2091
620	3418	2086
621	3423	2080
622	3430	2076
623	3436	2070
624	3441	2065
625	3447	2059
626	3452	2054
627	3459	2049
628	3466	2044
629	3472	2039
630	3478	2034
631	3484	2028
632	3489	2023
633	3495	2018
634	3501	2012
635	3506	2006
636	3513	2001
637	3518	1996
638	3524	1991
639	3530	1985
640	3536	1980
641	3542	1975
642	3548	1970
643	3553	1964
644	3559	1959
645	3565	1953
646	3570	1948
647	3575	1942
648	3580	1936
649	3586	1931
650	3592	1925
651	3598	1920
652	3603	1914
653	3609	1909
654	3614	1903
655	3620	1898
656	3626	1893
657	3631	1887
658	3637	1881
659	3642	1876
660	3647	1870
661	3653	1865
662	3658	1859
663	3664	1854
664	3669	1848
665	3675	1843
666	3680	1837
667	3686	1832
668	3691	1826
669	3697	1821
670	3703	1815
671	3711	1811
672	3718	1806
673	3726	1802
674	3733	1797
675	3741	1793
676	3746	1787
677	3753	1782
678	3758	1776
679	3763	1771
680	3769	1765
681	3775	1760
682	3780	1754
683	3787	1749
684	3791	1743
685	3797	1738
686	3804	1733
687	3808	1727
688	3814	1721
689	3820	1716
690	3824	1710
691	3829	1704
692	3834	1698
693	3838	1692
694	3843	1686
695	3848	1681
696	3854	1675
697	3859	1669
698	3864	1664
699	3870	1658
700	3875	1653
701	3881	1647
702	3886	1641
703	3891	1636
704	3897	1630
705	3902	1625
706	3907	1619
707	3914	1614
708	3919	1608
709	3924	1602
710	3930	1597
711	3935	1591
712	3941	1586
713	3947	1581
714	3952	1575
715	3957	1569
716	3963	1564
717	3968	1558
718	3973	1552
719	3978	1547
720	3984	1541
721	3989	1535
722	3994	1530
723	4000	1524
724	4005	1519
725	4011	1514
726	4016	1508
727	4022	1502
728	4027	1497
729	4033	1491
730	4038	1486
731	4044	1480
732	4049	1475
733	4054	1469
734	4060	1463
735	4065	1458
736	4071	1452
737	4076	1447
738	4081	1441
739	4087	1436
740	4092	1430
741	4097	1424
742	4103	1419
743	4109	1413
744	4114	1408
745	4120	1402
746	4125	1397
747	4130	1391
748	4136	1386
749	4141	1380
750	4147	1374
751	4152	1369
752	4158	1363
753	4163	1358
754	4169	1353
755	4175	1347
756	4180	1341
757	4186	1336
758	4191	1330
759	4197	1325
760	4203	1320
761	4208	1314
762	4214	1308
763	4220	1303
764	4225	1298
765	4231	1292
766	4237	1287
767	4242	1281
768	4248	1276
769	4254	1270
770	4259	1265
771	4265	1259
772	4270	1254
773	4276	1248
774	4281	1243
775	4287	1237
776	4292	1231
777	4298	1226
778	4303	1220
779	4308	1215
780	4313	1209
781	4319	1204
782	4325	1198
783	4330	1193
784	4335	1187
785	4341	1181
786	4346	1176
787	4352	1170
788	4357	1165
789	4362	1159
790	4367	1154
791	4373	1148
792	4379	1143
793	4384	1137
794	4390	1132
795	4395	1126
796	4400	1120
797	4405	1115
798	4411	1109
799	4416	1104
800	4421	1098
801	4428	1093
802	4434	1087
803	4439	1082
804	4444	1076
805	4449	1070
806	4454	1065
807	4460	1059
808	4465	1054
809	4470	1048
810	4475	1043
811	4480	1037
812	4485	1031
813	4491	1026
814	4496	1020
815	4501	1015
816	4508	1009
817	4513	1004
818	4519	998
819	4524	993
820	4529	987
821	4534	982
822	4540	976
823	4545	970
824	4550	965
825	4556	959
826	4561	954
827	4566	948
828	4572	943
829	4577	937
830	4582	932
831	4588	926
832	4593	920
833	4598	915
834	4603	909
835	4610	904
836	4615	898
837	4621	893
838	4627	887
839	4632	882
840	4638	877
841	4644	871
842	4650	866
843	4655	860
844	4661	855
845	4667	849
846	4672	844
847	4678	838
848	4683	833
849	4689	827
850	4694	822
851	4700	816
852	4706	811
853	4711	805
854	4717	800
855	4722	794
856	4728	788
857	4734	783
858	4739	777
859	4744	772
860	4750	766
861	4756	761
862	4761	755
863	4767	750
864	4773	744
865	4778	739
866	4783	733
867	4789	728
868	4794	722
869	4800	717
870	4805	711
871	4811	706
872	4817	700
873	4822	695
874	4828	689
875	4834	684
876	4839	678
877	4845	673
878	4851	667
879	4856	662
880	4862	656
881	4868	651
882	4873	645
883	4879	640
884	4884	634
885	4889	629
886	4896	623
887	4902	618
888	4907	612
889	4913	607
890	4918	601
891	4924	596
892	4930	590
893	4935	585
894	4941	579
895	4946	574
896	4951	568
897	4957	563
898	4963	557
899	4968	552
900	4974	546
901	4980	541
902	4985	535
903	4991	530
904	4997	524
905	5002	519
906	5008	513
907	5013	507
908	5019	502
909	5024	496
910	5030	491
911	5036	485
912	5041	480
913	5047	474
914	5052	469
915	5057	463
916	5063	458
917	5068	452
918	5074	447
919	5079	441
920	5085	436
921	5090	430
922	5095	425
923	5101	419
924	5107	414
925	5112	408
926	5118	403
927	5123	397
928	5128	391
929	5134	386
930	5139	380
931	5144	375
932	5150	369
933	5156	364
934	5161	358
935	5167	353
936	5172	347
937	5178	342
938	5183	336
939	5188	331
940	5194	325
941	5200	320
942	5205	314
943	5211	309
944	5217	303
945	5222	298
946	5228	292
947	5234	287
948	5239	281
949	5244	276
950	5250	270
951	5256	265
952	5261	259
953	5267	253
954	5272	248
955	5278	242
956	5284	237
957	5289	231
958	5295	226
959	5301	220
960	5306	215
961	5311	209
962	5317	204
963	5322	198
964	5328	193
965	5333	187
966	5339	182
967	5344	176
968	5350	171
969	5355	165
970	5361	160
971	5367	154
972	5372	149
973	5377	143
974	5384	138
975	5389	132
976	5395	127
977	5400	121
978	5405	115
979	5411	110
980	5417	104
981	5422	99
982	5427	93
983	5434	88
984	5439	82
985	5444	77
986	5450	71
987	5455	66
988	5460	60
989	5466	55
990	5472	49
991	5478	44
992	5483	38
993	5488	33
994	5493	27
995	5499	22
996	5505	16
997	5510	11
998	5515	5
999	5521	0
